Date,Open,High,Low,Close,Adj Close,Volume
2004-07-01,48.900002,50.119999,41.590000,42.810001,32.994701,51225100
2004-08-01,42.810001,45.889999,42.020000,45.139999,34.790493,25770000
2004-09-01,45.139999,46.540001,41.630001,42.709999,32.917637,34668300
2004-10-01,42.759998,45.340000,39.910000,45.049999,34.852947,51260800
2004-11-01,45.000000,46.830002,44.340000,44.560001,34.473869,31805800
2004-12-01,44.650002,49.250000,44.380001,49.119999,38.001709,36647100
2005-01-01,49.119999,49.150002,43.459999,44.810001,34.788082,46073600
2005-02-01,44.810001,46.099998,42.599998,43.849998,34.042793,30816900
2005-03-01,43.810001,45.709999,42.619999,43.720001,33.941879,38769100
2005-04-01,43.900002,46.529999,40.619999,46.230000,36.033714,39341300
2005-05-01,46.160000,48.299999,45.740002,48.000000,37.413319,27063600
2005-06-01,47.950001,51.930000,47.759998,48.250000,37.608177,30750200
2005-07-01,48.450001,51.500000,47.750000,49.740002,38.911995,31221400
2005-08-01,49.770000,50.029999,47.040001,48.330002,37.808945,24316600
2005-09-01,48.400002,50.480000,47.200001,48.919998,38.270508,23226000
2005-10-01,49.250000,55.490002,48.470001,55.230000,43.370598,42714300
2005-11-01,55.180000,59.380001,54.570000,57.689999,45.302372,33925000
2005-12-01,58.000000,59.799999,55.299999,55.439999,43.535507,27152900
2006-01-01,55.599998,61.500000,55.419998,60.459999,47.637001,40077800
2006-02-01,60.299999,63.180000,59.119999,62.480000,49.228588,26628200
2006-03-01,62.500000,63.730000,59.570000,60.430000,47.613384,27788500
2006-04-01,60.680000,65.529999,58.500000,65.320000,51.629463,28222800
2006-05-01,65.580002,66.470001,60.290001,62.099998,49.084358,33822300
2006-06-01,62.099998,63.509998,56.270000,58.090000,45.914818,38785300
2006-07-01,58.200001,60.700001,54.389999,60.060001,47.638844,37188800
2006-08-01,59.770000,63.099998,59.110001,61.799999,49.018986,31337800
2006-09-01,61.860001,64.349998,61.200001,62.400002,49.494907,19716000
